Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected 1
1/1/2004,7:30 a.m.,1/2/2004, 4:00 p.m.,Northern California,WECC,Winter Storm,170,263000
1/7/2004,Midnight,1/10/2004, 5:00 p.m.,King County,WECC,Snow Storm,150,145000
1/8/2004,3:00 p.m.,1/10/2004, 7:00 p.m.,"Lake Placid/Saranac, New York",NPCC,Public Appeal to Reduce Load,100,18600
1/14/2004,6:00 a.m.,1/17/2004, 12:00 noon,"Lake Placid/Saranac, New York",NPCC,Public Appeal to Reduce Load,100,18600
1/26/2004,10:00 a.m.,1/28/2004, 8:00 a.m.,Central South Carolina,SERC ,Ice Storm,700,150000
1/26/2004,2:00 p.m.,1/27/2004, 8:00 p.m.,North and Central area of Georgia,SERC,Ice Storm,150,30689
1/26/2004,4:00 p.m.,1/29/2004, 6:30 a.m.,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Ice Storm,475,9905
1/28/2004,1:09 p.m. ,1/29/2004, 5:00 a.m.,"Harford County, Maryland", MAAC,Ice Storm,300,70000
2/5/2004,8:00 p.m.,2/9/2004, 8:00 p.m.,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,Ice Storm,60,87456
2/14/2004,8:00 p.m.,2/16/2004, 12 noon,"Lake Colby, Lake Placid, Tupper Lake",NPCC,Public Appeal to Reduce Load,30,18600
2/17/2004,2:25 p.m.,2/17/2004, 11:57 p.m. ,"San Francisco Bay area, California",WECC,Lightning struck Intertie Breaker ,220,0
2/25/2004,12:01 a.m.  ,2/26/2004, 10:00 a.m.,Northern California,WECC,Winter Storm,240,505000
2/26/2004,12:00 a.m.,2/26/2004, 1:30 a.m.,Georgia,SERC,Severe Storm,10,47165
3/4/2004,5:00 a.m.,3/16/2004, 2:45 p.m.,North Texas,ERCOT,High Winds - Severe Storm,300,63000
3/7/2004,6:30 p.m.,3/9/2004, 8:00 a.m.  ,North and South Carolina,SERC,Severe Storm,1000,206000
3/8/2004,6:22 p.m.,3/8/2004, 6:55 p.m.,Southern California not including LA,WECC,Inadequate Resources,300,70000
3/17/2004,1:27 p.m. ,3/17/2004, 2:06 p.m.,"El Paso, Texas",WECC,Faulty Switch,300,100000
4/10/2004,8:00 p.m.,4/11/2004, 4:00 p.m.   ,"Houston, Texas and surrounding suburban areas",ERCOT,Thunderstorms,100,85000
